simulation_rank,rank,return_method,covariance_method,objective,oos_return,oos_volatility,oos_sharpe,oos_sortino,max_drawdown,tail_loss,turnover,effective_holdings,score,simulated_return,probability_of_loss,var_95,cvar_95,combined_score
11,10,CAPM,Ledoit-Wolf,Target Return,-0.06770633011871532,0.15926471921953078,-0.8332437389086322,-1.2462766413328292,-0.2735915943642747,0.02248341134747061,0.12351945717228101,8.560217492048304,0.6618749999999999,-0.002444536185884153,0.545,0.08875256892520961,0.10962199388622647,0.6508333333333333
12,21,Shrunk mean,DCC-GARCH,Minimum Variance,-0.0944427791139056,0.13870788732597836,-1.1494860327531196,-1.7680603198340699,-0.21469775709716188,0.01895970734842659,0.4138544306386256,5.496209479815705,0.5248958333333333,-0.0018774156691537518,0.535,0.07162106578479491,0.08874073657789142,0.6483333333333334
13,22,Historical mean,DCC-GARCH,Minimum Variance,-0.0944427791139056,0.13870788732597836,-1.1494860327531196,-1.7680603198340699,-0.21469775709716188,0.01895970734842659,0.4138544306386256,5.49620946020847,0.5238541666666666,-0.0018774156691535187,0.535,0.07162106578478578,0.08874073657788013,0.6425
14,5,Historical mean,DCC-GARCH,Maximum Sharpe,-0.02418152857839303,0.1811621453726667,-0.49227463273267535,-0.7056264617139614,-0.2699855214061353,0.02599164573330808,1.4219217284434258,2.7777777777777817,0.7091666666666666,-0.0029446336663188945,0.555,0.11239943911900188,0.1383042846264399,0.6395833333333333
15,4,Historical mean,Ledoit-Wolf,Maximum Sharpe,-0.02677063744744236,0.17722007853923294,-0.517834312025351,-0.7377441718901655,-0.26393382539999133,0.025554537936535907,1.4505642363578752,2.7777777777777795,0.7156250000000001,-0.0030313547662127217,0.555,0.1157165820478559,0.1423050921889654,0.6375
16,11,Historical mean,EWMA,Maximum Sharpe,-0.03974110845415837,0.180302454087561,-0.5809189286092165,-0.8239127139432229,-0.268658040389387,0.02610138859598599,1.497582014706116,2.7777777777777786,0.6483333333333334,-0.0024777212998412057,0.545,0.09454969999786525,0.1166955583147385,0.6233333333333333
17,16,Historical mean,Ledoit-Wolf,Target Return,-0.09257636527970257,0.14466442819134673,-1.0892544024110566,-1.6683746260209147,-0.21946645776919338,0.02015151738639711,0.5126555507798692,9.0,0.6322916666666667,-0.002305641978393256,0.54,0.08797501766323705,0.10870232276649613,0.6058333333333333
18,9,CAPM,EWMA,Maximum Sharpe,-0.03965788398862154,0.16674442880039206,-0.6276544574326159,-0.96878102582073,-0.2673349123935074,0.02367275850430584,1.2727113573148248,2.7777777777777843,0.6641666666666667,-0.00323059124464069,0.555,0.09965463202500965,0.12275297582362173,0.6041666666666666
19,20,CAPM,DCC-GARCH,Target Return,-0.08599974754243654,0.16297017070104186,-0.926548379331551,-1.341272527629499,-0.28415599679530845,0.02354251051508113,0.596495040100012,8.361235633754099,0.608125,-0.002186508068760218,0.54,0.07889705604546182,0.09760864637953201,0.6
20,27,EWMA mean,Ledoit-Wolf,Maximum Sharpe,-0.11191874373400937,0.17358446884912773,-1.019208371042571,-1.3525577888316576,-0.2562851107266456,0.02618109672389333,1.2888394725425831,2.8639901495764293,0.49145833333333333,0.03584917639031485,0.295,0.07760426867172014,0.10446176896956114,0.59
21,19,Shrunk mean,Ledoit-Wolf,Target Return,-0.0925763658161719,0.14466442779887592,-1.089254409074546,-1.6683746338974232,-0.2194664564003097,0.020151517298899604,0.5126555464488897,9.0,0.6229166666666667,-0.002305641978393256,0.54,0.08797501766323705,0.10870232276649613,0.5683333333333334
22,29,CAPM,Historical,Minimum Variance,-0.10024778554731748,0.13820340549401566,-1.1956853375402017,-1.8749841573264443,-0.20697406465234391,0.01883723212009457,0.14552959403638124,4.752365821315799,0.4708333333333334,-0.0006825267019541697,0.515,0.07827652589764857,0.09719048889260423,0.5679166666666667
23,8,Shrunk mean,Historical,Maximum Sharpe,-0.03424999851650367,0.18412135813330818,-0.5390466349082889,-0.7996603572413121,-0.26804880558019584,0.026086548408556415,1.3886979557816754,2.777777777777775,0.6754166666666667,-0.0031438543075416763,0.555,0.12002072437932848,0.1474893466299781,0.5658333333333332
24,36,EWMA mean,EWMA,Maximum Sharpe,-0.12583620703563914,0.16901622584535092,-1.1290999197334664,-1.473440653104713,-0.2612459382537191,0.025677133065820947,1.1877300758894707,2.937461862649575,0.4252083333333333,0.03648103076151146,0.225,0.04512723904349655,0.06500014099517304,0.5625
25,28,Historical mean,Historical,Minimum Variance,-0.10024778554731748,0.13820340549401566,-1.1956853375402017,-1.8749841573264443,-0.20697406465234391,0.01883723212009457,0.14552959403638124,4.7523658241823545,0.47239583333333335,-0.0020856071083729232,0.535,0.07957066132629433,0.09845806838523094,0.5158333333333334
26,17,Shrunk mean,EWMA,Maximum Sharpe,-0.06093451420068335,0.18570009082356814,-0.6781607571766485,-0.9961891434126741,-0.25972967195799246,0.026712450555376424,1.4679574579570083,2.777777777777788,0.6300000000000001,-0.002738856347755233,0.555,0.10453072992970804,0.1287951440444348,0.5116666666666666
27,30,Shrunk mean,Historical,Minimum Variance,-0.10024778554731748,0.13820340549401566,-1.1956853375402017,-1.8749841573264443,-0.20697406465234391,0.01883723212009457,0.14552959403638124,4.752365821315799,0.4708333333333334,-0.002085607108372637,0.535,0.07957066132628353,0.09845806838521784,0.5037499999999999
28,13,EWMA mean,Ledoit-Wolf,Minimum Variance,-0.08948625152146454,0.13822695901535892,-1.1176275063990881,-1.6995443769062581,-0.2105914574359954,0.019036522480611363,0.1487852962877201,5.112740506859138,0.63875,-0.041349511843463145,0.825,0.11764430484428498,0.1362090192599662,0.4879166666666666
29,18,Shrunk mean,DCC-GARCH,Maximum Sharpe,-0.06171413732893552,0.18563692951528094,-0.6825912153352272,-0.9889437524658332,-0.2532285172148667,0.02712012758113386,1.4944245572305528,2.777777777777783,0.6264583333333333,-0.0029446336663188966,0.555,0.11239943911900188,0.1383042846264399,0.4745833333333333
